"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Brazil","2010","Total","Male","15 - 19","Census - de jure - complete tabulation","Final figure, complete","2011","8558868",""
"Brazil","2010","Total","Male","16","Census - de jure - complete tabulation","Final figure, complete","2011","1719415",""
"Brazil","2010","Total","Male","17","Census - de jure - complete tabulation","Final figure, complete","2011","1701889",""
"Brazil","2010","Total","Male","18","Census - de jure - complete tabulation","Final figure, complete","2011","1699061",""
"Brazil","2010","Total","Male","19","Census - de jure - complete tabulation","Final figure, complete","2011","1636331",""
"Brazil","2010","Total","Male","20","Census - de jure - complete tabulation","Final figure, complete","2011","1698081",""
"Brazil","2010","Total","Male","20 - 24","Census - de jure - complete tabulation","Final figure, complete","2011","8630229",""
"Brazil","2010","Total","Male","21","Census - de jure - complete tabulation","Final figure, complete","2011","1713268",""
"Brazil","2010","Total","Male","22","Census - de jure - complete tabulation","Final figure, complete","2011","1760477",""
"Brazil","2010","Total","Male","23","Census - de jure - complete tabulation","Final figure, complete","2011","1709675",""
"Brazil","2010","Total","Male","24","Census - de jure - complete tabulation","Final figure, complete","2011","1748728",""
"Brazil","2010","Total","Male","25","Census - de jure - complete tabulation","Final figure, complete","2011","1725173",""
"Brazil","2010","Total","Male","25 - 29","Census - de jure - complete tabulation","Final figure, complete","2011","8460995",""
"Brazil","2010","Total","Male","26","Census - de jure - complete tabulation","Final figure, complete","2011","1631055",""
"Brazil","2010","Total","Male","27","Census - de jure - complete tabulation","Final figure, complete","2011","1710763",""
"Brazil","2010","Total","Male","28","Census - de jure - complete tabulation","Final figure, complete","2011","1737767",""
"Brazil","2010","Total","Male","29","Census - de jure - complete tabulation","Final figure, complete","2011","1656237",""
"Brazil","2010","Total","Male","30","Census - de jure - complete tabulation","Final figure, complete","2011","1763562",""
"Brazil","2010","Total","Male","30 - 34","Census - de jure - complete tabulation","Final figure, complete","2011","7717658",""
"Brazil","2010","Total","Male","31","Census - de jure - complete tabulation","Final figure, complete","2011","1523891",""
"Brazil","2010","Total","Male","32","Census - de jure - complete tabulation","Final figure, complete","2011","1548975",""
"Brazil","2010","Total","Male","33","Census - de jure - complete tabulation","Final figure, complete","2011","1458789",""
"Brazil","2010","Total","Male","34","Census - de jure - complete tabulation","Final figure, complete","2011","1422441",""
"Brazil","2010","Total","Male","35","Census - de jure - complete tabulation","Final figure, complete","2011","1468144",""
"Brazil","2010","Total","Male","35 - 39","Census - de jure - complete tabulation","Final figure, complete","2011","6766664",""
"Brazil","2010","Total","Male","36","Census - de jure - complete tabulation","Final figure, complete","2011","1344132",""
"Brazil","2010","Total","Male","37","Census - de jure - complete tabulation","Final figure, complete","2011","1326646",""
"Brazil","2010","Total","Male","38","Census - de jure - complete tabulation","Final figure, complete","2011","1325659",""
"Brazil","2010","Total","Male","39","Census - de jure - complete tabulation","Final figure, complete","2011","1302083",""
"Brazil","2010","Total","Male","40","Census - de jure - complete tabulation","Final figure, complete","2011","1422254",""
"Brazil","2010","Total","Male","40 - 44","Census - de jure - complete tabulation","Final figure, complete","2011","6320568",""
"Brazil","2010","Total","Male","41","Census - de jure - complete tabulation","Final figure, complete","2011","1235034",""
"Brazil","2010","Total","Male","42","Census - de jure - complete tabulation","Final figure, complete","2011","1281124",""
"Brazil","2010","Total","Male","43","Census - de jure - complete tabulation","Final figure, complete","2011","1177147",""
"Brazil","2010","Total","Male","44","Census - de jure - complete tabulation","Final figure, complete","2011","1205009",""
"Brazil","2010","Total","Male","45","Census - de jure - complete tabulation","Final figure, complete","2011","1263401",""
"Brazil","2010","Total","Male","45 - 49","Census - de jure - complete tabulation","Final figure, complete","2011","5692014",""
"Brazil","2010","Total","Male","46","Census - de jure - complete tabulation","Final figure, complete","2011","1173710",""
"Brazil","2010","Total","Male","47","Census - de jure - complete tabulation","Final figure, complete","2011","1129200",""
"Brazil","2010","Total","Male","48","Census - de jure - complete tabulation","Final figure, complete","2011","1079370",""
"Brazil","2010","Total","Male","49","Census - de jure - complete tabulation","Final figure, complete","2011","1046333",""
"Brazil","2010","Total","Male","50","Census - de jure - complete tabulation","Final figure, complete","2011","1112034",""
"Brazil","2010","Total","Male","50 - 54","Census - de jure - complete tabulation","Final figure, complete","2011","4834995",""
"Brazil","2010","Total","Male","51","Census - de jure - complete tabulation","Final figure, complete","2011","948591",""
"Brazil","2010","Total","Male","52","Census - de jure - complete tabulation","Final figure, complete","2011","985045",""
"Brazil","2010","Total","Male","53","Census - de jure - complete tabulation","Final figure, complete","2011","905975",""
"Brazil","2010","Total","Male","54","Census - de jure - complete tabulation","Final figure, complete","2011","883350",""
"Brazil","2010","Total","Male","55","Census - de jure - complete tabulation","Final figure, complete","2011","877013",""
"Brazil","2010","Total","Male","55 - 59","Census - de jure - complete tabulation","Final figure, complete","2011","3902344",""
"Brazil","2010","Total","Male","56","Census - de jure - complete tabulation","Final figure, complete","2011","826882",""
"Brazil","2010","Total","Male","57","Census - de jure - complete tabulation","Final figure, complete","2011","751293",""
"Brazil","2010","Total","Male","58","Census - de jure - complete tabulation","Final figure, complete","2011","742051",""
"Brazil","2010","Total","Male","59","Census - de jure - complete tabulation","Final figure, complete","2011","705105",""
"Brazil","2010","Total","Male","60","Census - de jure - complete tabulation","Final figure, complete","2011","737957",""
"Brazil","2010","Total","Male","60 - 64","Census - de jure - complete tabulation","Final figure, complete","2011","3041035",""
"Brazil","2010","Total","Male","61","Census - de jure - complete tabulation","Final figure, complete","2011","602476",""
"Brazil","2010","Total","Male","62","Census - de jure - complete tabulation","Final figure, complete","2011","613839",""
"Brazil","2010","Total","Male","63","Census - de jure - complete tabulation","Final figure, complete","2011","562959",""
"Brazil","2010","Total","Male","64","Census - de jure - complete tabulation","Final figure, complete","2011","523804",""
"Brazil","2010","Total","Male","65","Census - de jure - complete tabulation","Final figure, complete","2011","529674",""
"Brazil","2010","Total","Male","65 - 69","Census - de jure - complete tabulation","Final figure, complete","2011","2224065",""
"Brazil","2010","Total","Male","66","Census - de jure - complete tabulation","Final figure, complete","2011","468666",""
"Brazil","2010","Total","Male","67","Census - de jure - complete tabulation","Final figure, complete","2011","440243",""
"Brazil","2010","Total","Male","68","Census - de jure - complete tabulation","Final figure, complete","2011","408863",""
"Brazil","2010","Total","Male","69","Census - de jure - complete tabulation","Final figure, complete","2011","376619",""
"Brazil","2010","Total","Male","70","Census - de jure - complete tabulation","Final figure, complete","2011","419302",""
"Brazil","2010","Total","Male","70 - 74","Census - de jure - complete tabulation","Final figure, complete","2011","1667372",""
"Brazil","2010","Total","Male","71","Census - de jure - complete tabulation","Final figure, complete","2011","335925",""
"Brazil","2010","Total","Male","72","Census - de jure - complete tabulation","Final figure, complete","2011","323844",""
"Brazil","2010","Total","Male","73","Census - de jure - complete tabulation","Final figure, complete","2011","294410",""
"Brazil","2010","Total","Male","74","Census - de jure - complete tabulation","Final figure, complete","2011","293891",""
"Brazil","2010","Total","Male","75","Census - de jure - complete tabulation","Final figure, complete","2011","265369",""
"Brazil","2010","Total","Male","75 - 79","Census - de jure - complete tabulation","Final figure, complete","2011","1090517",""
"Brazil","2010","Total","Male","76","Census - de jure - complete tabulation","Final figure, complete","2011","225782",""
"Brazil","2010","Total","Male","77","Census - de jure - complete tabulation","Final figure, complete","2011","211817",""
"Brazil","2010","Total","Male","78","Census - de jure - complete tabulation","Final figure, complete","2011","206262",""
"Brazil","2010","Total","Male","79","Census - de jure - complete tabulation","Final figure, complete","2011","181287",""
"Brazil","2010","Total","Male","80","Census - de jure - complete tabulation","Final figure, complete","2011","183850",""
"Brazil","2010","Total","Male","80 - 84","Census - de jure - complete tabulation","Final figure, complete","2011","668623",""
"Brazil","2010","Total","Male","81","Census - de jure - complete tabulation","Final figure, complete","2011","139772",""
"Brazil","2010","Total","Male","82","Census - de jure - complete tabulation","Final figure, complete","2011","129748",""
"Brazil","2010","Total","Male","83","Census - de jure - complete tabulation","Final figure, complete","2011","114919",""
"Brazil","2010","Total","Male","84","Census - de jure - complete tabulation","Final figure, complete","2011","100334",""
"Brazil","2010","Total","Male","85","Census - de jure - complete tabulation","Final figure, complete","2011","87856",""
"Brazil","2010","Total","Male","85 - 89","Census - de jure - complete tabulation","Final figure, complete","2011","310759",""
"Brazil","2010","Total","Male","86","Census - de jure - complete tabulation","Final figure, complete","2011","72953",""
"Brazil","2010","Total","Male","87","Census - de jure - complete tabulation","Final figure, complete","2011","60074",""
"Brazil","2010","Total","Male","88","Census - de jure - complete tabulation","Final figure, complete","2011","49839",""
"Brazil","2010","Total","Male","89","Census - de jure - complete tabulation","Final figure, complete","2011","40037",""
"Brazil","2010","Total","Male","90","Census - de jure - complete tabulation","Final figure, complete","2011","37970",""
"Brazil","2010","Total","Male","90 - 94","Census - de jure - complete tabulation","Final figure, complete","2011","114964",""
"Brazil","2010","Total","Male","91","Census - de jure - complete tabulation","Final figure, complete","2011","26745",""
"Brazil","2010","Total","Male","92","Census - de jure - complete tabulation","Final figure, complete","2011","21371",""
"Brazil","2010","Total","Male","93","Census - de jure - complete tabulation","Final figure, complete","2011","16052",""
"Brazil","2010","Total","Male","94","Census - de jure - complete tabulation","Final figure, complete","2011","12826",""
"Brazil","2010","Total","Male","95","Census - de jure - complete tabulation","Final figure, complete","2011","10317",""
"Brazil","2010","Total","Male","95 - 99","Census - de jure - complete tabulation","Final figure, complete","2011","31529",""
"Brazil","2010","Total","Male","96","Census - de jure - complete tabulation","Final figure, complete","2011","7905",""
"Brazil","2010","Total","Male","97","Census - de jure - complete tabulation","Final figure, complete","2011","5743",""
"Brazil","2010","Total","Male","98","Census - de jure - complete tabulation","Final figure, complete","2011","4314",""
"Brazil","2010","Total","Male","99","Census - de jure - complete tabulation","Final figure, complete","2011","3250",""
"Brazil","2010","Total","Male","100 +","Census - de jure - complete tabulation","Final figure, complete","2011","7247",""
"Brazil","2010","Total","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2011","97348809",""
"Brazil","2010","Total","Female","0","Census - de jure - complete tabulation","Final figure, complete","2011","1334712",""
"Brazil","2010","Total","Female","0 - 4","Census - de jure - complete tabulation","Final figure, complete","2011","6779171",""
"Brazil","2010","Total","Female","1","Census - de jure - complete tabulation","Final figure, complete","2011","1325484",""
"Brazil","2010","Total","Female","1 - 4","Census - de jure - complete tabulation","Final figure, complete","2011","5444459",""
"Brazil","2010","Total","Female","2","Census - de jure - complete tabulation","Final figure, complete","2011","1339814",""
"Brazil","2010","Total","Female","3","Census - de jure - complete tabulation","Final figure, complete","2011","1371487",""
"Brazil","2010","Total","Female","4","Census - de jure - complete tabulation","Final figure, complete","2011","1407674",""
"Brazil","2010","Total","Female","5","Census - de jure - complete tabulation","Final figure, complete","2011","1438735",""
"Brazil","2010","Total","Female","5 - 9","Census - de jure - complete tabulation","Final figure, complete","2011","7345231",""
"Brazil","2010","Total","Female","6","Census - de jure - complete tabulation","Final figure, complete","2011","1421784",""
"Brazil","2010","Total","Female","7","Census - de jure - complete tabulation","Final figure, complete","2011","1452364",""
"Brazil","2010","Total","Female","8","Census - de jure - complete tabulation","Final figure, complete","2011","1467609",""
"Brazil","2010","Total","Female","9","Census - de jure - complete tabulation","Final figure, complete","2011","1564739",""
"Brazil","2010","Total","Female","10","Census - de jure - complete tabulation","Final figure, complete","2011","1712070",""
"Brazil","2010","Total","Female","10 - 14","Census - de jure - complete tabulation","Final figure, complete","2011","8441348",""
"Brazil","2010","Total","Female","11","Census - de jure - complete tabulation","Final figure, complete","2011","1643553",""
"Brazil","2010","Total","Female","12","Census - de jure - complete tabulation","Final figure, complete","2011","1675022",""
"Brazil","2010","Total","Female","13","Census - de jure - complete tabulation","Final figure, complete","2011","1684160",""
"Brazil","2010","Total","Female","14","Census - de jure - complete tabulation","Final figure, complete","2011","1726543",""
"Brazil","2010","Total","Female","15","Census - de jure - complete tabulation","Final figure, complete","2011","1772757",""
"Brazil","2010","Total","Female","15 - 19","Census - de jure - complete tabulation","Final figure, complete","2011","8432004",""
"Brazil","2010","Total","Female","16","Census - de jure - complete tabulation","Final figure, complete","2011","1691289",""
"Brazil","2010","Total","Female","17","Census - de jure - complete tabulation","Final figure, complete","2011","1670352",""
"Brazil","2010","Total","Female","18","Census - de jure - complete tabulation","Final figure, complete","2011","1668111",""
"Brazil","2010","Total","Female","19","Census - de jure - complete tabulation","Final figure, complete","2011","1629495",""
"Brazil","2010","Total","Female","20","Census - de jure - complete tabulation","Final figure, complete","2011","1691648",""
"Brazil","2010","Total","Female","20 - 24","Census - de jure - complete tabulation","Final figure, complete","2011","8614963",""
"Brazil","2010","Total","Female","21","Census - de jure - complete tabulation","Final figure, complete","2011","1708468",""
"Brazil","2010","Total","Female","22","Census - de jure - complete tabulation","Final figure, complete","2011","1750020",""
"Brazil","2010","Total","Female","23","Census - de jure - complete tabulation","Final figure, complete","2011","1710579",""
